Organization (Aggregated),Enabled Users,% Active Users,Average Copilot Actions,Avg Active Days,% Power Users,Date
Contoso Ltd,239,53.9%,12.3,2.4,7.4%,2025-10-12 00:00:00
Contoso Ltd,240,43.5%,8.5,2.4,3.7%,2025-10-19 00:00:00
Contoso Ltd,242,40.7%,9.3,1.9,8.0%,2025-10-26 00:00:00
Contoso Ltd,244,39.8%,11.3,1.4,6.7%,2025-11-02 00:00:00
Contoso Ltd,246,47.7%,8.3,1.9,7.5%,2025-11-09 00:00:00
Contoso Ltd,247,54.8%,6.6,2.0,5.2%,2025-11-16 00:00:00
Contoso Ltd,249,55.3%,10.1,2.2,4.2%,2025-11-23 00:00:00
Contoso Ltd,251,44.9%,8.9,2.5,7.9%,2025-11-30 00:00:00
Contoso Ltd,253,68.0%,19.3,3.9,19.0%,2025-12-07 00:00:00
Contoso Ltd,254,80.1%,15.4,2.9,16.7%,2025-12-14 00:00:00
Contoso Ltd,256,72.9%,20.9,2.8,18.3%,2025-12-21 00:00:00
Contoso Ltd,258,64.7%,19.9,3.8,16.2%,2025-12-28 00:00:00
Contoso Ltd,260,74.7%,21.5,3.9,13.3%,2026-01-04 00:00:00
Contoso Ltd,261,80.6%,23.2,3.0,15.4%,2026-01-11 00:00:00
Contoso Ltd,263,72.6%,17.9,3.1,18.0%,2026-01-18 00:00:00
Contoso Ltd,265,62.7%,20.7,3.3,14.5%,2026-01-25 00:00:00
Contoso Ltd,267,71.0%,17.7,3.5,16.1%,2026-02-01 00:00:00
Contoso Ltd,268,64.7%,23.2,3.6,14.4%,2026-02-08 00:00:00
Contoso Ltd,270,78.1%,18.2,3.5,13.1%,2026-02-15 00:00:00
Contoso Ltd,272,66.1%,15.5,3.2,15.4%,2026-02-22 00:00:00
Contoso Ltd,274,64.2%,24.6,2.9,15.8%,2026-03-01 00:00:00
Fabrikam Industries,257,29.2%,3.1,1.2,,2025-03-30 00:00:00
Fabrikam Industries,260,30.3%,2.4,0.7,,2025-04-06 00:00:00
Fabrikam Industries,263,20.8%,4.5,1.3,,2025-04-13 00:00:00
Fabrikam Industries,267,20.0%,4.7,1.4,,2025-04-20 00:00:00
Fabrikam Industries,270,19.3%,2.4,1.3,,2025-04-27 00:00:00
Fabrikam Industries,273,30.7%,3.9,0.9,,2025-05-04 00:00:00
Fabrikam Industries,277,30.4%,4.1,0.7,,2025-05-11 00:00:00
Fabrikam Industries,280,24.6%,5.0,1.1,,2025-05-18 00:00:00
Fabrikam Industries,283,31.3%,5.3,1.4,,2025-05-25 00:00:00
Fabrikam Industries,287,27.5%,2.3,1.6,,2025-06-01 00:00:00
Fabrikam Industries,290,28.0%,4.7,1.2,,2025-06-08 00:00:00
Fabrikam Industries,293,23.8%,4.8,0.9,,2025-06-15 00:00:00
Fabrikam Industries,297,19.7%,2.7,1.2,,2025-06-22 00:00:00
Fabrikam Industries,300,24.2%,3.7,0.7,,2025-06-29 00:00:00
Fabrikam Industries,303,24.7%,2.3,0.7,,2025-07-06 00:00:00
Fabrikam Industries,307,32.2%,3.1,0.9,,2025-07-13 00:00:00
Fabrikam Industries,310,41.4%,6.8,2.2,4.0%,2025-07-20 00:00:00
Fabrikam Industries,313,41.8%,10.6,2.2,5.2%,2025-07-27 00:00:00
Fabrikam Industries,317,39.7%,9.5,1.9,6.4%,2025-08-03 00:00:00
Fabrikam Industries,320,54.7%,6.3,2.1,7.2%,2025-08-10 00:00:00
Fabrikam Industries,323,35.3%,7.4,1.9,6.6%,2025-08-17 00:00:00
Fabrikam Industries,327,39.7%,11.6,2.0,4.5%,2025-08-24 00:00:00
Fabrikam Industries,330,39.8%,6.7,1.6,6.5%,2025-08-31 00:00:00
Fabrikam Industries,333,46.4%,11.3,2.4,4.3%,2025-09-07 00:00:00
Fabrikam Industries,337,49.8%,9.1,1.9,5.7%,2025-09-14 00:00:00
Fabrikam Industries,340,57.6%,11.1,2.1,3.8%,2025-09-21 00:00:00
Fabrikam Industries,343,44.7%,9.1,2.0,3.7%,2025-09-28 00:00:00
Fabrikam Industries,347,48.6%,6.3,2.3,5.9%,2025-10-05 00:00:00
Fabrikam Industries,350,41.7%,7.6,1.9,4.0%,2025-10-12 00:00:00
Fabrikam Industries,353,45.3%,10.7,2.2,7.1%,2025-10-19 00:00:00
Fabrikam Industries,357,56.5%,6.9,1.8,6.2%,2025-10-26 00:00:00
Fabrikam Industries,360,36.1%,10.1,2.1,7.8%,2025-11-02 00:00:00
Fabrikam Industries,363,46.2%,10.5,1.4,3.7%,2025-11-09 00:00:00
Fabrikam Industries,367,36.5%,11.8,2.3,4.4%,2025-11-16 00:00:00
Fabrikam Industries,370,43.8%,7.8,1.9,7.9%,2025-11-23 00:00:00
Fabrikam Industries,373,55.3%,8.5,2.2,7.3%,2025-11-30 00:00:00
Fabrikam Industries,377,71.4%,16.3,3.3,18.6%,2025-12-07 00:00:00
Fabrikam Industries,380,68.6%,22.4,3.2,19.7%,2025-12-14 00:00:00
Fabrikam Industries,383,68.8%,19.4,3.3,19.4%,2025-12-21 00:00:00
Fabrikam Industries,387,73.2%,19.8,3.5,13.4%,2025-12-28 00:00:00
Fabrikam Industries,390,65.9%,18.7,3.3,19.2%,2026-01-04 00:00:00
Fabrikam Industries,393,77.0%,16.2,3.5,18.2%,2026-01-11 00:00:00
Fabrikam Industries,397,66.5%,19.0,3.4,12.3%,2026-01-18 00:00:00
Fabrikam Industries,400,69.7%,20.3,3.1,17.4%,2026-01-25 00:00:00
Fabrikam Industries,403,65.5%,21.2,3.7,18.4%,2026-02-01 00:00:00
Fabrikam Industries,407,69.2%,19.8,3.2,14.3%,2026-02-08 00:00:00
Fabrikam Industries,410,75.3%,15.5,3.4,14.1%,2026-02-15 00:00:00
Fabrikam Industries,413,78.0%,19.9,2.9,15.8%,2026-02-22 00:00:00
Fabrikam Industries,417,72.9%,22.4,2.9,13.8%,2026-03-01 00:00:00
Adventure Works,105,17.5%,3.8,1.3,,2025-03-30 00:00:00
Adventure Works,106,20.9%,4.1,0.8,,2025-04-06 00:00:00
Adventure Works,107,23.2%,4.2,1.3,,2025-04-13 00:00:00
Adventure Works,108,21.4%,3.7,0.9,,2025-04-20 00:00:00
Adventure Works,109,32.5%,3.1,0.8,,2025-04-27 00:00:00
Adventure Works,110,23.7%,5.3,0.5,,2025-05-04 00:00:00
Adventure Works,111,23.9%,2.7,0.9,,2025-05-11 00:00:00
Adventure Works,112,21.3%,2.8,0.9,,2025-05-18 00:00:00
Adventure Works,113,30.5%,2.2,1.2,,2025-05-25 00:00:00
Adventure Works,114,21.6%,3.1,1.3,,2025-06-01 00:00:00
Adventure Works,115,32.3%,3.0,1.4,,2025-06-08 00:00:00
Adventure Works,116,28.8%,4.0,0.9,,2025-06-15 00:00:00
Adventure Works,117,25.0%,2.0,1.1,,2025-06-22 00:00:00
Adventure Works,118,24.6%,2.8,1.3,,2025-06-29 00:00:00
Adventure Works,119,23.1%,4.8,0.8,,2025-07-06 00:00:00
Adventure Works,120,26.1%,2.2,1.1,,2025-07-13 00:00:00
Adventure Works,122,52.4%,8.2,2.0,5.6%,2025-07-20 00:00:00
Adventure Works,123,60.7%,7.6,1.8,3.1%,2025-07-27 00:00:00
Adventure Works,124,57.8%,11.4,2.4,6.8%,2025-08-03 00:00:00
Adventure Works,125,35.2%,6.9,1.4,7.9%,2025-08-10 00:00:00
Adventure Works,126,56.1%,10.5,2.4,4.6%,2025-08-17 00:00:00
Adventure Works,127,56.2%,7.9,1.9,5.8%,2025-08-24 00:00:00
Adventure Works,128,59.4%,11.3,2.6,4.5%,2025-08-31 00:00:00
Adventure Works,129,42.6%,11.6,1.8,6.4%,2025-09-07 00:00:00
Adventure Works,130,45.8%,9.6,1.9,6.8%,2025-09-14 00:00:00
Adventure Works,131,44.0%,7.9,2.1,4.6%,2025-09-21 00:00:00
Adventure Works,132,44.9%,9.2,2.0,3.7%,2025-09-28 00:00:00
Adventure Works,133,59.0%,8.9,2.5,5.6%,2025-10-05 00:00:00
Adventure Works,134,43.2%,10.3,2.1,5.7%,2025-10-12 00:00:00
Adventure Works,135,55.8%,7.2,2.0,6.7%,2025-10-19 00:00:00
Adventure Works,136,43.9%,8.3,2.4,4.9%,2025-10-26 00:00:00
Adventure Works,137,50.1%,10.8,2.0,7.4%,2025-11-02 00:00:00
Adventure Works,139,51.3%,11.8,2.4,3.3%,2025-11-09 00:00:00
Adventure Works,140,46.1%,11.1,2.2,7.8%,2025-11-16 00:00:00
Adventure Works,141,48.4%,11.9,2.3,7.0%,2025-11-23 00:00:00
Adventure Works,142,56.7%,10.0,2.3,3.5%,2025-11-30 00:00:00
Adventure Works,143,69.0%,22.6,3.3,18.1%,2025-12-07 00:00:00
Adventure Works,144,71.2%,17.7,3.3,13.4%,2025-12-14 00:00:00
Adventure Works,145,72.0%,19.2,3.9,15.9%,2025-12-21 00:00:00
Adventure Works,146,63.8%,21.7,2.8,15.3%,2025-12-28 00:00:00
Adventure Works,147,76.8%,17.2,3.2,14.0%,2026-01-04 00:00:00
Adventure Works,148,68.2%,21.8,3.6,19.7%,2026-01-11 00:00:00
Adventure Works,149,76.2%,18.1,3.9,20.0%,2026-01-18 00:00:00
Adventure Works,150,61.5%,21.0,3.8,16.2%,2026-01-25 00:00:00
Adventure Works,151,72.3%,15.6,4.2,12.6%,2026-02-01 00:00:00
Adventure Works,152,70.2%,16.5,2.9,15.2%,2026-02-08 00:00:00
Adventure Works,153,76.4%,20.1,3.2,13.3%,2026-02-15 00:00:00
Adventure Works,154,58.2%,18.4,3.5,15.6%,2026-02-22 00:00:00
Adventure Works,156,81.1%,17.3,3.1,17.5%,2026-03-01 00:00:00
Northwind Traders,220,31.1%,4.1,0.9,,2025-03-30 00:00:00
Northwind Traders,222,20.5%,2.8,0.8,,2025-04-06 00:00:00
Northwind Traders,224,21.0%,3.8,0.6,,2025-04-13 00:00:00
Northwind Traders,227,28.3%,2.6,0.9,,2025-04-20 00:00:00
Northwind Traders,229,21.6%,3.5,0.9,,2025-04-27 00:00:00
Northwind Traders,231,29.8%,4.3,1.1,,2025-05-04 00:00:00
Northwind Traders,234,20.3%,3.6,1.1,,2025-05-11 00:00:00
Northwind Traders,236,20.8%,2.0,0.7,,2025-05-18 00:00:00
Northwind Traders,238,33.9%,2.6,1.0,,2025-05-25 00:00:00
Northwind Traders,241,30.3%,3.7,1.0,,2025-06-01 00:00:00
Northwind Traders,243,32.8%,3.1,0.8,,2025-06-08 00:00:00
Northwind Traders,245,21.5%,4.6,1.0,,2025-06-15 00:00:00
Northwind Traders,248,29.6%,3.3,0.9,,2025-06-22 00:00:00
Northwind Traders,250,32.0%,4.0,0.8,,2025-06-29 00:00:00
Northwind Traders,252,29.7%,3.7,0.6,,2025-07-06 00:00:00
Northwind Traders,255,24.1%,3.1,0.7,,2025-07-13 00:00:00
Northwind Traders,257,56.3%,6.2,1.8,5.6%,2025-07-20 00:00:00
Northwind Traders,260,62.2%,11.7,1.8,4.3%,2025-07-27 00:00:00
Northwind Traders,262,33.1%,6.7,1.9,6.5%,2025-08-03 00:00:00
Northwind Traders,264,36.5%,11.9,1.9,6.1%,2025-08-10 00:00:00
Northwind Traders,267,54.7%,7.5,1.6,7.7%,2025-08-17 00:00:00
Northwind Traders,269,41.4%,6.8,1.7,4.7%,2025-08-24 00:00:00
Northwind Traders,271,51.3%,7.3,1.9,6.6%,2025-08-31 00:00:00
Northwind Traders,274,55.8%,9.6,1.9,5.7%,2025-09-07 00:00:00
Northwind Traders,276,43.6%,8.5,2.3,3.3%,2025-09-14 00:00:00
Northwind Traders,278,41.3%,6.3,2.4,6.5%,2025-09-21 00:00:00
Northwind Traders,281,49.6%,6.5,2.5,4.1%,2025-09-28 00:00:00
Northwind Traders,283,58.9%,8.6,2.3,6.1%,2025-10-05 00:00:00
Northwind Traders,285,35.0%,7.4,2.3,7.8%,2025-10-12 00:00:00
Northwind Traders,288,57.5%,10.2,1.7,3.7%,2025-10-19 00:00:00
Northwind Traders,290,41.0%,9.0,2.1,6.9%,2025-10-26 00:00:00
Northwind Traders,292,56.2%,10.3,1.8,4.7%,2025-11-02 00:00:00
Northwind Traders,295,41.2%,7.3,1.7,4.2%,2025-11-09 00:00:00
Northwind Traders,297,47.8%,9.7,1.9,3.9%,2025-11-16 00:00:00
Northwind Traders,300,49.2%,11.4,1.6,3.6%,2025-11-23 00:00:00
Northwind Traders,302,39.9%,10.3,1.8,5.1%,2025-11-30 00:00:00
Northwind Traders,304,73.9%,16.9,3.7,12.4%,2025-12-07 00:00:00
Northwind Traders,307,59.0%,23.6,3.7,14.8%,2025-12-14 00:00:00
Northwind Traders,309,78.5%,18.7,3.4,16.8%,2025-12-21 00:00:00
Northwind Traders,311,62.3%,18.3,3.3,17.6%,2025-12-28 00:00:00
Northwind Traders,314,72.0%,21.1,3.8,15.6%,2026-01-04 00:00:00
Northwind Traders,316,66.6%,18.4,3.5,12.6%,2026-01-11 00:00:00
Northwind Traders,318,73.9%,24.4,3.7,16.5%,2026-01-18 00:00:00
Northwind Traders,321,68.4%,22.9,3.3,17.0%,2026-01-25 00:00:00
Northwind Traders,323,64.8%,20.1,3.3,17.4%,2026-02-01 00:00:00
Northwind Traders,325,74.2%,21.6,2.9,17.3%,2026-02-08 00:00:00
Northwind Traders,328,76.5%,22.0,3.6,15.0%,2026-02-15 00:00:00
Northwind Traders,330,74.9%,17.8,3.5,15.8%,2026-02-22 00:00:00
Northwind Traders,333,63.7%,17.9,3.2,12.7%,2026-03-01 00:00:00
Wide World Importers,208,28.0%,2.6,1.3,,2025-03-30 00:00:00
Wide World Importers,209,25.6%,4.8,1.2,,2025-04-06 00:00:00
Wide World Importers,211,19.5%,2.7,0.8,,2025-04-13 00:00:00
Wide World Importers,213,30.9%,4.8,1.0,,2025-04-20 00:00:00
Wide World Importers,215,32.2%,3.1,1.6,,2025-04-27 00:00:00
Wide World Importers,217,26.9%,4.9,1.1,,2025-05-04 00:00:00
Wide World Importers,219,20.5%,2.5,1.1,,2025-05-11 00:00:00
Wide World Importers,221,32.6%,3.5,0.8,,2025-05-18 00:00:00
Wide World Importers,223,35.2%,4.0,0.6,,2025-05-25 00:00:00
Wide World Importers,225,22.7%,3.7,0.8,,2025-06-01 00:00:00
Wide World Importers,227,21.7%,4.6,1.4,,2025-06-08 00:00:00
Wide World Importers,229,30.0%,2.5,0.6,,2025-06-15 00:00:00
Wide World Importers,231,18.5%,2.2,1.0,,2025-06-22 00:00:00
Wide World Importers,232,31.1%,4.2,0.8,,2025-06-29 00:00:00
Wide World Importers,234,20.9%,4.2,0.9,,2025-07-06 00:00:00
Wide World Importers,236,34.0%,2.0,1.2,,2025-07-13 00:00:00
Wide World Importers,238,59.4%,11.7,1.6,3.7%,2025-07-20 00:00:00
Wide World Importers,240,51.1%,7.3,2.1,3.6%,2025-07-27 00:00:00
Wide World Importers,242,38.5%,7.3,1.5,7.0%,2025-08-03 00:00:00
Wide World Importers,244,47.1%,8.3,2.0,4.8%,2025-08-10 00:00:00
Wide World Importers,246,48.6%,9.6,1.8,4.9%,2025-08-17 00:00:00
Wide World Importers,248,47.8%,11.5,1.9,5.8%,2025-08-24 00:00:00
Wide World Importers,250,46.9%,9.2,2.4,5.6%,2025-08-31 00:00:00
Wide World Importers,252,40.0%,6.4,1.6,6.6%,2025-09-07 00:00:00
Wide World Importers,254,40.7%,7.0,1.9,4.2%,2025-09-14 00:00:00
Wide World Importers,255,40.3%,7.6,1.9,5.6%,2025-09-21 00:00:00
Wide World Importers,257,45.3%,9.1,1.9,4.7%,2025-09-28 00:00:00
Wide World Importers,259,44.5%,8.2,2.1,7.9%,2025-10-05 00:00:00
Wide World Importers,261,47.2%,10.2,2.1,5.3%,2025-10-12 00:00:00
Wide World Importers,263,46.2%,9.8,2.4,3.8%,2025-10-19 00:00:00
Wide World Importers,265,47.5%,10.5,2.5,4.8%,2025-10-26 00:00:00
Wide World Importers,267,52.8%,7.5,1.5,7.3%,2025-11-02 00:00:00
Wide World Importers,269,46.1%,11.8,1.7,6.4%,2025-11-09 00:00:00
Wide World Importers,271,55.5%,10.3,2.1,3.9%,2025-11-16 00:00:00
Wide World Importers,273,44.1%,7.4,2.3,5.7%,2025-11-23 00:00:00
Wide World Importers,275,59.6%,7.6,1.5,3.8%,2025-11-30 00:00:00
Wide World Importers,277,69.9%,20.5,3.0,18.1%,2025-12-07 00:00:00
Wide World Importers,278,78.6%,16.5,4.0,18.4%,2025-12-14 00:00:00
Wide World Importers,280,73.7%,16.6,3.1,17.3%,2025-12-21 00:00:00
Wide World Importers,282,74.3%,22.8,2.9,18.1%,2025-12-28 00:00:00
Wide World Importers,284,69.3%,18.5,3.2,15.0%,2026-01-04 00:00:00
Wide World Importers,286,63.4%,23.2,3.2,17.4%,2026-01-11 00:00:00
Wide World Importers,288,68.8%,17.3,3.6,12.3%,2026-01-18 00:00:00
Wide World Importers,290,71.7%,22.3,3.5,18.4%,2026-01-25 00:00:00
Wide World Importers,292,64.1%,19.9,3.2,13.6%,2026-02-01 00:00:00
Wide World Importers,294,58.3%,16.6,3.6,12.7%,2026-02-08 00:00:00
Wide World Importers,296,62.9%,15.3,3.3,19.6%,2026-02-15 00:00:00
Wide World Importers,298,69.6%,17.2,3.0,14.7%,2026-02-22 00:00:00
Wide World Importers,300,66.1%,16.9,3.9,19.6%,2026-03-01 00:00:00
Tailspin Toys,166,19.0%,3.2,1.4,,2025-03-30 00:00:00
Tailspin Toys,168,28.3%,3.3,0.4,,2025-04-06 00:00:00
Tailspin Toys,170,29.8%,2.4,1.4,,2025-04-13 00:00:00
Tailspin Toys,172,24.1%,4.0,1.3,,2025-04-20 00:00:00
Tailspin Toys,175,31.3%,3.6,0.6,,2025-04-27 00:00:00
Tailspin Toys,177,31.8%,3.9,1.1,,2025-05-04 00:00:00
Tailspin Toys,179,37.0%,4.8,1.3,,2025-05-11 00:00:00
Tailspin Toys,181,33.3%,3.5,1.5,,2025-05-18 00:00:00
Tailspin Toys,184,28.5%,3.8,0.6,,2025-05-25 00:00:00
Tailspin Toys,186,31.1%,4.7,1.2,,2025-06-01 00:00:00
Tailspin Toys,188,24.2%,2.8,0.9,,2025-06-08 00:00:00
Tailspin Toys,190,26.6%,3.5,1.6,,2025-06-15 00:00:00
Tailspin Toys,193,20.2%,2.1,1.1,,2025-06-22 00:00:00
Tailspin Toys,195,25.9%,2.0,0.7,,2025-06-29 00:00:00
Tailspin Toys,197,33.9%,3.7,1.5,,2025-07-06 00:00:00
Tailspin Toys,199,31.4%,2.0,1.5,,2025-07-13 00:00:00
Tailspin Toys,202,43.8%,8.4,2.0,6.4%,2025-07-20 00:00:00
Tailspin Toys,204,46.8%,11.6,2.1,7.0%,2025-07-27 00:00:00
Tailspin Toys,206,55.7%,7.3,1.8,7.8%,2025-08-03 00:00:00
Tailspin Toys,208,54.2%,6.9,2.1,7.6%,2025-08-10 00:00:00
Tailspin Toys,211,44.9%,11.3,1.6,7.4%,2025-08-17 00:00:00
Tailspin Toys,213,51.3%,8.5,1.6,6.8%,2025-08-24 00:00:00
Tailspin Toys,215,44.8%,11.5,1.9,3.8%,2025-08-31 00:00:00
Tailspin Toys,217,59.2%,10.7,1.6,7.1%,2025-09-07 00:00:00
Tailspin Toys,220,53.2%,12.0,2.0,4.0%,2025-09-14 00:00:00
Tailspin Toys,222,51.9%,11.5,2.2,3.8%,2025-09-21 00:00:00
Tailspin Toys,224,55.3%,10.0,2.1,7.3%,2025-09-28 00:00:00
Tailspin Toys,226,43.5%,7.6,1.6,4.9%,2025-10-05 00:00:00
Tailspin Toys,229,58.4%,7.3,1.8,4.6%,2025-10-12 00:00:00
Tailspin Toys,231,46.8%,8.3,1.6,3.7%,2025-10-19 00:00:00
Tailspin Toys,233,54.8%,10.4,2.1,3.3%,2025-10-26 00:00:00
Tailspin Toys,235,49.4%,7.9,2.4,4.7%,2025-11-02 00:00:00
Tailspin Toys,238,54.3%,9.4,1.4,3.1%,2025-11-09 00:00:00
Tailspin Toys,240,34.7%,11.2,2.0,7.5%,2025-11-16 00:00:00
Tailspin Toys,242,35.8%,6.7,1.8,3.0%,2025-11-23 00:00:00
Tailspin Toys,244,38.9%,11.5,2.0,3.1%,2025-11-30 00:00:00
Tailspin Toys,247,67.6%,18.8,3.5,19.7%,2025-12-07 00:00:00
Tailspin Toys,249,76.9%,15.2,3.1,14.5%,2025-12-14 00:00:00
Tailspin Toys,251,59.9%,23.5,3.9,17.0%,2025-12-21 00:00:00
Tailspin Toys,253,75.0%,23.4,3.5,13.3%,2025-12-28 00:00:00
Tailspin Toys,256,67.5%,19.1,3.0,13.4%,2026-01-04 00:00:00
Tailspin Toys,258,66.9%,24.9,3.9,14.3%,2026-01-11 00:00:00
Tailspin Toys,260,72.2%,17.7,3.5,17.3%,2026-01-18 00:00:00
Tailspin Toys,262,65.4%,24.3,3.3,12.3%,2026-01-25 00:00:00
Tailspin Toys,265,75.4%,16.3,3.7,13.4%,2026-02-01 00:00:00
Tailspin Toys,267,66.7%,22.8,3.4,15.3%,2026-02-08 00:00:00
Tailspin Toys,269,75.8%,17.6,3.3,19.2%,2026-02-15 00:00:00
Tailspin Toys,271,64.5%,21.5,3.6,13.9%,2026-02-22 00:00:00
Tailspin Toys,274,60.9%,17.8,3.9,15.6%,2026-03-01 00:00:00
Fourth Coffee,113,20.0%,4.8,1.2,,2025-03-30 00:00:00
Fourth Coffee,114,24.0%,3.4,1.4,,2025-04-06 00:00:00
Fourth Coffee,115,22.9%,3.7,1.1,,2025-04-13 00:00:00
Fourth Coffee,116,25.0%,2.6,0.5,,2025-04-20 00:00:00
Fourth Coffee,117,26.8%,2.3,0.8,,2025-04-27 00:00:00
Fourth Coffee,118,32.1%,2.8,0.9,,2025-05-04 00:00:00
Fourth Coffee,119,19.8%,2.9,1.2,,2025-05-11 00:00:00
Fourth Coffee,120,29.1%,3.5,1.0,,2025-05-18 00:00:00
Fourth Coffee,121,22.3%,4.7,0.6,,2025-05-25 00:00:00
Fourth Coffee,122,20.3%,4.6,1.5,,2025-06-01 00:00:00
Fourth Coffee,124,30.5%,2.8,1.4,,2025-06-08 00:00:00
Fourth Coffee,125,28.8%,4.8,1.3,,2025-06-15 00:00:00
Fourth Coffee,126,29.2%,3.9,1.3,,2025-06-22 00:00:00
Fourth Coffee,127,29.3%,4.7,0.4,,2025-06-29 00:00:00
Fourth Coffee,128,30.3%,3.3,0.6,,2025-07-06 00:00:00
Fourth Coffee,129,28.2%,2.1,0.6,,2025-07-13 00:00:00
Fourth Coffee,130,53.8%,11.4,1.7,6.3%,2025-07-20 00:00:00
Fourth Coffee,131,50.2%,8.6,2.0,4.7%,2025-07-27 00:00:00
Fourth Coffee,132,59.4%,6.8,2.3,3.3%,2025-08-03 00:00:00
Fourth Coffee,133,53.5%,6.3,1.7,6.4%,2025-08-10 00:00:00
Fourth Coffee,135,43.9%,11.9,2.3,6.6%,2025-08-17 00:00:00
Fourth Coffee,136,40.9%,9.8,1.4,4.6%,2025-08-24 00:00:00
Fourth Coffee,137,33.6%,7.0,2.3,3.7%,2025-08-31 00:00:00
Fourth Coffee,138,55.3%,9.9,2.2,6.3%,2025-09-07 00:00:00
Fourth Coffee,139,49.0%,8.5,2.4,3.0%,2025-09-14 00:00:00
Fourth Coffee,140,51.6%,6.9,2.3,3.0%,2025-09-21 00:00:00
Fourth Coffee,141,48.8%,9.0,1.7,4.7%,2025-09-28 00:00:00
Fourth Coffee,142,41.1%,7.7,2.5,6.0%,2025-10-05 00:00:00
Fourth Coffee,143,52.7%,9.8,2.5,5.8%,2025-10-12 00:00:00
Fourth Coffee,145,48.4%,8.7,1.8,6.7%,2025-10-19 00:00:00
Fourth Coffee,146,42.4%,6.9,1.4,6.0%,2025-10-26 00:00:00
Fourth Coffee,147,39.4%,9.5,2.2,6.8%,2025-11-02 00:00:00
Fourth Coffee,148,54.0%,11.8,2.4,5.0%,2025-11-09 00:00:00
Fourth Coffee,149,49.4%,12.0,2.3,7.2%,2025-11-16 00:00:00
Fourth Coffee,150,60.5%,8.3,1.9,3.9%,2025-11-23 00:00:00
Fourth Coffee,151,47.1%,6.6,1.4,6.1%,2025-11-30 00:00:00
Fourth Coffee,152,75.9%,25.1,3.5,15.0%,2025-12-07 00:00:00
Fourth Coffee,153,69.9%,24.9,3.7,17.3%,2025-12-14 00:00:00
Fourth Coffee,154,77.9%,17.7,3.3,19.3%,2025-12-21 00:00:00
Fourth Coffee,156,69.6%,15.0,3.8,17.4%,2025-12-28 00:00:00
Fourth Coffee,157,78.4%,16.1,3.2,18.5%,2026-01-04 00:00:00
Fourth Coffee,158,75.9%,22.3,2.9,14.6%,2026-01-11 00:00:00
Fourth Coffee,159,76.1%,21.1,3.8,13.8%,2026-01-18 00:00:00
Fourth Coffee,160,75.8%,16.1,3.1,17.6%,2026-01-25 00:00:00
Fourth Coffee,161,64.4%,17.5,3.6,15.8%,2026-02-01 00:00:00
Fourth Coffee,162,76.6%,17.7,3.8,19.4%,2026-02-08 00:00:00
Fourth Coffee,163,71.6%,20.1,3.8,18.2%,2026-02-15 00:00:00
Fourth Coffee,164,74.3%,17.0,3.6,19.7%,2026-02-22 00:00:00
Fourth Coffee,166,59.4%,21.4,3.8,12.6%,2026-03-01 00:00:00
Proseware Inc,290,24.6%,3.6,1.4,,2025-03-30 00:00:00
Proseware Inc,292,19.6%,1.8,1.2,,2025-04-06 00:00:00
